d,caseno,tot,ctot
330,15,1,1
330,36,1,2
401,177,1,3
401,179,1,4
401,180,1,5
401,181,1,6
401,182,1,7
401,183,1,8
401,184,1,9
402,256-262,7,16
405,486 from Chengalpattu,1,17
406,614-615,2,19
409,739-742,4,23
410,835-846,12,35
411,912,1,36
412,970-971,2,38
413,1076-1077,2,40
415,1205-1207,3,43
419,1373-1375,3,46
421,1521-1523,3,49
423,1630,1,50
425,1756,1,51
428,1938,1,52
428,1939,1,53
428,1940,1,54
428,1941,1,55
428,1942,1,56
428,1943,1,57
428,1944,1,58
428,1945,1,59
428,1946,1,60
428,1947,1,61
428,1948,1,62
428,1949,1,63
429,2059,1,64
429,2060,1,65
429,2061,1,66
429,2062,1,67
