d,caseno,tot,ctot
331,70-72,3,3
403,378-387,10,13
404,485,1,14
405,554-558,5,19
406,620,1,20
408,735-738,4,24
410,909-911,3,27
416,1243,1,28
417,1317-1318,2,30
419,1469-1475,7,37
420,1518-1520,3,40
421,1593-1596,4,44
422,1629,1,45
423,1680,1,46
